frame_name	left	top	right	bottom
normal_01_right	1		30		25		65
normal_02_right	26		30		50		65
normal_01_left	480		30		504		65
normal_02_left	455		30		479		65

run_01_right		2	66	23	102
run_02_right		24	66	41	102
run_03_right		42	66	61	102
run_04_right		62	66	83	102
run_05_right		84	66	101	102
run_06_right		102	66	122	102
run_01_left		482	66	503	102
run_02_left		464	66	481	102
run_03_left		444	66	463	102
run_04_left		422	66	443	102
run_05_left		404	66	421	102
run_06_left		383	66	403	102

jump_01_right		117	44	134	65
jump_02_right		135	44	155	65
jump_03_right		156	44	173	65
jump_04_right		174	44	194	65
jump_01_left		371	44	388	65
jump_02_left		350	44	370	65
jump_03_left		332	44	349	65
jump_04_left		311	44	331	65

lay_down_01_right	83	48	116	65
lay_down_01_left	389	48	422h	65

run_shot_up_01_right	123	66	144	102
run_shot_up_02_right	145	66	162	102
run_shot_up_03_right	163	66	183	102
run_shot_up_01_left	361	66	382	102
run_shot_up_02_left	343	66	360	102
run_shot_up_03_left	122	66	342	102

run_shot_down_01_right	184	66	206	102
run_shot_down_02_right	207	66	228	102
run_shot_down_03_right	229	66	251	102
run_shot_down_01_left	299	66	321	102
run_shot_down_02_left	277	66	298	102
run_shot_down_03_left	254	66	276	102

shot_up_01_right	51	19	66	65
shot_up_02_right	67	19	82	65
shot_up_01_left	439	19	454	65
shot_up_02_left	423	19	438	65

run_shot_01_right	155	189	181	224
run_shot_02_right	184	189	208	224
run_shot_03_right	210	189	236	224
run_shot_01_left	324	189	350	224
run_shot_02_left	297	189	321	224
run_shot_03_left	269	189	295	224

swim_begin	94	115	111	131
swimming_right	130	115	147	131
swimming_01_right	130	115	147	132
swimming_left	358	115	375	131
swimming_01_left	358	115	375	132

diving		112	123	129	131
diving_01	112	123	129	132

swimming_shot	191	113	217	131
swimming_shot_01	191	113	217	132
swimming_shotup	148	113	168	131
swimming_shotup_01	148	113	168	132
swimming_shotup_stand	169	103	187	131
swimming_shotup_stand_01	169	103	187	132
swimming_shot_left	288	113	314	131
swimming_shot_01_left	288	113	314	132
swimming_shotup_left		337	113	357	131
swimming_shotup_01_left	337	113	357	132
swimming_shotup_stand_left	318	103	336	131
swimming_shotup_stand_01_leftt	318	103	336	132

dead_01		2	107	18	131
dead_02		19	112	42	131
dead_03		43	107	59	131
dead_04		60	120	93	131
dead_01_left		487	107	503	131
dead_02_left		463	112	486	131
dead_03_left		446	107	462	131
dead_04_lefth		412	120	445	131
